no,username,komentar
38,riski,b'@arifhidyat_ @temboqtayamum nah iya toh wkwk. kalo mbkm yang program magang okelah karna masalahnya emg riil dari s\xe2\x80\xa6 https://t.co/xp3MZFKxyx'
39,Bisma,"b'Dan kalo kalian gamau magang ya gausah, atau gamau ambil program MBKM ya gapapa juga ( Cmiiw kalo ternyata wajib ).\xe2\x80\xa6 https://t.co/tgpaNQ0oeX'"
40,M Arif Hidayat ZE,"b'@islahuddyn @temboqtayamum Ya emg ada penurunan pergerakan mahasiswa sih, kaya skrg minyak goreng mahal, kedelai la\xe2\x80\xa6 https://t.co/Okda35Nx85'"
41,ko,b'@starcatzy maaf baru balas.. untuk program MBKM wirausaha kalau di kampusku minimal perusahaan yang sudah berjalan\xe2\x80\xa6 https://t.co/69tKqUwTnN'
42,Lyn. ðŸŽ¸ðŸŽ¼,b'Guys siapa ikut mbkm \xf0\x9f\x98\xa5'
43,Rifki ich,b'RT @bemkm_ugm: [MERDEKA BELAJAR: DISORIENTASI TATANAN KEHIDUPAN MAHASISWA SEBAGAI INTELEKTUAL MUDA]\n\nHalo Gadjah Mada dan Nusantara!\nHadirn\xe2\x80\xa6'
44,Dik,b'univ dibawah kem3nag gabisa ikut mbkm wkwkwkwkwkwkwkwkwkwkwkwkkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwk\xe2\x80\xa6 https://t.co/WkXi6Aw80D'
45,Bukan Buxhin,b'@collegemenfess Setahuku kalau mbkm udah diacc itu gak bisa dibatalkan nder. Bisa tapi prosesnya lama banget dan ba\xe2\x80\xa6 https://t.co/5KmKaSLO7T'
46,qhismÎ¼,b'@anju0gerald Lho bukannya kemarin BEM KM sempet bikin acara seputar MBKM ya mas Anju \xf0\x9f\xa4\x94'
47,zappp,b'@myendingfairy iyaa program mbkm jugaa'
48,Anju Gerald,"b'Banyak yang perlu dikritik dari MBKM, jelas. Bahkan jika mau menganalisis kondisi politik-ekonomi yang melatarbelak\xe2\x80\xa6 https://t.co/O8V3JKTVMe'"
49,UINSA FESS,"b'bagi mhs uinsa! seng sek bingung tentang mbkm dan program mirip lainnya, dengerin ini sampe habis yaaa thx https://t.co/XgoPLEUY3w'"
50,BAGU$,"b'mbkm ibarate koyo telek pitik, wes bacut kepidak marai pincang'"
51,Sy,"b'Apalagi sama pak menteri yang sekarang, adanya MBKM, keliatan banget kurikulum pendidikan cuma diarahkan buat memen\xe2\x80\xa6 https://t.co/75sl1UHbrn'"
52,riski,b'@temboqtayamum berasa didikte sama bem kalo narasi ttg program mbkm saat ini menyempitkan aktivitas intelektual mah\xe2\x80\xa6 https://t.co/qmM8onetI9'
53,ð–’ð–†ð–˜,"b'wkwkwkwk brodi, ntar juga bisa bisa lab lagi kalah sama mbkm chuaaaakzss @rapryourbae https://t.co/V7bQXUyVNL'"
54,ð–’ð–†ð–˜,"b'wkwkwkwk brodi, ntar juga bisa bisa lab lagi kalah sama mbkm chuaaaakzss @rapryourbae https://t.co/V7bQXUztDj'"
55,Gilsssss,b'Penasaran sama kajian lengkap BEM KM yg bahas kegiatan MBKM \xf0\x9f\xa4\x94 pengen liat teknik pengambilan data sama analisis hasilnya'
56,Kebun Raya Baturraden,"b""Sejumlah 10 (sepuluh) mahasiswi pada hari Jum'at tanggal 4 Maret 2022 telah diterima di Aula Kebun Raya Baturraden.\xe2\x80\xa6 https://t.co/W6MV5iF1Oy"""
57,Kebun Raya Baturraden,b'Salah satu fungsi Kebun Raya Baturraden adalah fungsi pendidikan. Kegiatan Merdeka Belajar Kampus Merdeka (MBKM) Fa\xe2\x80\xa6 https://t.co/fCHoWUwNnz'
58,onyou_rlisaðŸ¦‹,b'Tapi sekarang gue udah kuliah sem 4 gue udah mulai kepikiran buat fokus kuliah +mikirin masa depan gue mulai dari n\xe2\x80\xa6 https://t.co/5EndzvaSBe'
59,Himawari Uhamka,"b'Assalamualaikum Wr. Wb.\n\nKonnichiwa minnasan \n\n""Bekerja keraslah, bermimpilah lebih besar dan jadilah yang terbaik.\xe2\x80\xa6 https://t.co/5i2wqzdmPe'"
60,Donasi Yayasan HIV/AIDSðŸ“Œ,b'-dips! Kalo mau ikut MBKM tuh emang minimal udah ambil 100 sks ya baru bisa ikut? Semester 4 belum bisa dong?'
61,Agung,"b'kelar jugaaaaa laporan mbkm aing\n\nah tapi bgst proposal TA belum ada progress cukk, udah mau bulan puasa ini'"
62,dip,b'Rasanya ingin mengganti matkul mbkm HI UII semuanya'
63,UINSA FESS,"b'uinsa! Ada yg udah bikin akun mbkm kah? Katanya uin udah bisa, lah ini kok nama kampusnya tidak terdaftar? Bagi inf\xe2\x80\xa6 https://t.co/1j2YswnGfK'"
64,âœ¿,b'Finally watashi senin udah mbkm \xf0\x9f\xa4\xa9'
65,DEE UMS,b'Program Kampus Mengajar merupakan bagian dari Merdeka Belajar Kampus Merdeka (MBKM). Program ini digelar dalam rang\xe2\x80\xa6 https://t.co/flB10vl8o3'
66,argawjy,b'Tau gitu mending nekat daftar magang MBKM'
67,Nar,b'Haruskah aku memanfaatkan konversi 20sks ini sepenuhnya? Alih alih meringankan beban karena mbkm cukup sibuk + memb\xe2\x80\xa6 https://t.co/V4sMx6xfjy'
68,Riyan Arthur,"b'Bisa masuk program wirausaha, proyek mandiri, KKN dll ada 8 MBKM koq... \n\nkl skema ditentukan mnrt sy malah jauh dr\xe2\x80\xa6 https://t.co/6lzE1bKUHc'"
69,indi (original ver.),b'thanks to mbkm sekarang tiap minggu gw dapet sesi 1-on-1 sama psikolog klinis'
70,PLONKPEDIA,"b'RT @11MaretUniv: Sobat Semar, pada Rabu (2/3/2022) lalu Universitas Sebelas Maret (UNS) Surakarta resmi menarik mahasiswa yang mengikuti Ku\xe2\x80\xa6'"
71,CHU,b'Ini pengalaman aku ya sebagai peserta course KMMI sekaligus MBKM.'
72,CHU,"b'Bukan soal jumlahnya. Tapi duliat dari performa kerja @Kemdikbud_RI , mulai dari kegiatan MBKM 1 sampe KMMI ini sep\xe2\x80\xa6 https://t.co/WD80X2WGQ8'"
73,RÃ¨s. ðŸ¦‹,"b'Mahasiswa MBKM matkul psikologi anak di kelas gue banyak banget nyampe 41 mahasiswa, gils. Selamat belajar shwjwja'"
74,CHU,b'Setelah MBKM muncullah KMMI. Sejujurnya kegiatan KMMI itu sendiri berjalan lancar soalnya teknisnya cuma kaya perku\xe2\x80\xa6 https://t.co/FsdNgstY0M'
75,DnD,b'RT @DnDSandyRa: Fakultas Psikologi UMBY Adakan Gathering Dengan 14 Mitra MBKM - DnD Sandy Ra https://t.co/RQZyZtDdTI'
76,DnD Sandy Ra,b'Fakultas Psikologi UMBY Adakan Gathering Dengan 14 Mitra MBKM - DnD Sandy Ra https://t.co/RQZyZtDdTI'
77,áµ›áµreeáµ‡Ê·,"b'@bolmna mjb, serius kak dr mbkm udh ky gtu?\xf0\x9f\x98\xad pdhl udh niat pgn ambil magang tp ptn nya ga masuk top 10\xf0\x9f\xa5\xb2'"
